date,temperature_2m
2025-02-18 11:00:00+00:00,-1.6535
2025-02-18 12:00:00+00:00,-1.8535
2025-02-18 13:00:00+00:00,-1.9535
2025-02-18 14:00:00+00:00,0.59650004
2025-02-18 15:00:00+00:00,3.9464998
2025-02-18 16:00:00+00:00,6.2965
2025-02-18 17:00:00+00:00,8.0465
2025-02-18 18:00:00+00:00,9.6965
2025-02-18 19:00:00+00:00,10.5965
2025-02-18 20:00:00+00:00,11.1965
2025-02-18 21:00:00+00:00,11.3965
2025-02-18 22:00:00+00:00,11.1965
2025-02-18 23:00:00+00:00,9.8965
2025-02-19 00:00:00+00:00,8.4465
2025-02-19 01:00:00+00:00,
2025-02-19 02:00:00+00:00,
2025-02-19 03:00:00+00:00,
2025-02-19 04:00:00+00:00,
